id_persona,sexoact,fnacact,edadact,redadact,estcivil,dpto,aportante,tipo_cargo,remuneracion,aporte_armador,aporte_trabajador,aporte_total,primer_periodo,ultimo_periodo,nro_semanas,montos_aportes
000815200143,1,16/05/1985,38,3,2,10,1,,,,,,201811,202306,92,26374.88
000927120116,1,20/04/1970,53,4,2,14,1,1,2655.85,,212.47,212.47,201403,202306,595,132027.17
000947170176,1,01/10/1999,23,1,,17,0,,,,,,202109,202205,0,
001101880116,1,20/06/1968,55,5,,14,0,,,,,,201406,202007,115,1980.67
001342250170,1,26/10/1991,31,2,1,12,0,6,2639.62,,211.17,211.17,202012,202212,12,1765.32
001371370140,1,01/01/1977,46,4,2,2,1,,,,,,202111,202306,118,5921.57
001542360146,1,06/09/1989,33,2,1,19,0,6,811.88,40.59,64.95,105.54,201503,201507,4,203.04
001547880116,1,28/06/1972,51,4,2,14,0,,,,,,201704,202111,271,27901.68
001810880142,1,21/02/1981,42,3,1,2,1,3,2101.71,,168.14,168.14,201608,202306,214,61355.90999999999
002101880116,1,25/01/1973,50,4,2,14,0,,,,,,201405,202305,227,30126.75
002341100118,1,27/04/1962,61,5,,12,0,6,819.2,42.5,68,110.5,201706,201707,13,110.5
002384360116,1,25/08/1973,49,4,1,14,1,6,1673,,133.84,133.84,201402,202306,305,53545.47
002776400140,1,28/10/1978,44,3,2,2,1,,1416.68,,113.33,113.33,201404,202306,476,70897.43000000001
002859220170,1,24/11/1993,29,2,1,19,1,,,,,,202012,202306,8,1059.44
002916830144,1,13/02/1977,46,4,1,19,0,5,16374.77,818.74,1309.98,2128.72,201411,202007,8,2827.95
003271580141,1,07/04/1980,43,3,2,24,1,6,419.22,,82,82,201402,202306,354,71859.12000000002
004019030132,1,19/02/1971,52,4,2,2,0,,,,,,201404,201709,327,6771.3
004105650147,1,28/01/1992,31,2,2,14,0,,,,,,201404,201908,51,8363.139999999999
004180850171,1,09/04/1993,30,2,1,2,0,6,1117.91,55.9,89.43000000000001,145.33,201711,201803,10,628.38
004427880142,1,07/05/1981,42,3,1,2,1,,,,,,201803,202306,53,587.25
004487430142,1,10/05/1981,42,3,1,14,0,6,1601.24,,128.1,128.10001,201405,202302,216,20264.04
004721350177,1,16/12/1994,28,2,,14,1,,,,,,202103,202306,47,4984.75
004885730171,1,01/05/1997,26,2,1,2,0,,,,,,202012,202107,11,1792.15
005083780145,1,14/05/1988,35,3,,19,0,,,,,,201611,201612,3,110.5
005210200148,1,30/12/1993,29,2,1,13,0,6,3750,187.5,300,487.5,201804,201905,23,2841.67
006472550118,1,06/06/1962,61,5,1,12,0,,,,,,201403,201712,279,27437.33
006478500146,1,25/10/1989,33,2,1,14,0,,,,,,202005,202103,9,1455.63
006760060141,1,15/03/1981,42,3,2,10,1,6,817.58,,82,82,201402,202306,412,68693.48000000001
007114440143,1,21/07/1985,37,3,1,2,0,,,,,,201906,202302,13,942.25
008050360142,1,01/07/1982,40,3,,10,1,4,3542.6,,283.41,283.41,201804,202306,373,49108.24000000002
008126700118,1,30/03/1972,51,4,2,12,1,6,508.56,,82,82,201405,202306,457,96608.77000000002
008194600145,1,01/05/1988,35,3,1,14,0,,,,,,201408,201606,2,
008535680143,1,07/10/1981,41,3,1,13,0,6,1525.23,76.26000000000001,122.02,198.28,201504,201912,120,8488.620000000001
008897270106,1,21/02/1963,60,5,2,2,1,6,37.44,,82,82,201403,202306,689,34015.06
008931500142,1,04/11/1983,39,3,1,2,0,,,,,,201911,202001,4,500.34
009948790141,1,07/04/1980,43,3,1,14,0,,,,,,201407,202304,176,7268.539999999999
010167710141,1,04/10/1980,42,3,1,2,0,6,5915.2,,473.22,473.22,201511,202212,74,24503.77
010243430146,1,24/12/1978,44,3,1,2,1,,,,,,201404,202306,133,26940.48
010277320132,1,06/10/1961,61,5,2,2,0,2,416.13,42.5,68,110.5,201605,201706,525,3211.440000000001
010458410132,1,08/11/1965,57,5,2,2,1,6,984.39,,82,82,201406,202306,484,73006.14000000001
010644400145,1,31/05/1982,41,3,,14,0,6,2293.21,114.66,183.46,298.12,202111,202112,4,566.3299999999999
010853580144,1,22/02/1987,36,3,1,19,0,6,2969.09,148.45,237.53,385.98001,201704,202007,31,5407.780000000001
010859400132,1,07/12/1967,55,5,2,2,1,,,,,,201404,202306,739,62343.61
011017120170,1,22/06/1993,30,2,1,19,0,,,,,,201402,201911,255,13319.03
011297490170,1,24/08/1994,28,2,1,2,1,,,,,,202111,202306,25,3632.61
011687940132,1,18/09/1960,62,5,1,2,1,6,1396.11,,111.69,111.69,201402,202306,542,68041.54000000002
011696010132,1,26/10/1964,58,5,2,2,1,6,285.14,,82,82,201402,202306,857,62872.49999999999
011818160132,1,30/09/1961,61,5,1,2,0,,291.04,46.5,74.40000000000001,120.9,201406,202111,482,54493.03000000001
012025530143,1,02/08/1985,37,3,2,2,0,,,,,,201404,202107,12,1234.83
012042050132,1,24/05/1962,61,5,1,2,0,,1452.33,,116.19,116.19,201707,202303,317,26519.49999999999
012204750103,1,24/06/1966,57,5,1,2,0,6,5254.08,262.7,420.33,683.03003,201407,201511,335,3688.12
012283490103,1,10/09/1967,55,5,1,19,1,,175.73,,82,82,201402,202306,731,73018.15000000002
012391440132,1,19/03/1967,56,5,1,2,1,,,,,,201404,202306,218,33671.65999999999
012392930132,1,02/08/1968,54,4,2,2,1,2,1654.27,,132.34,132.34,201406,202306,803,142108.44
012430910132,1,09/04/1967,56,5,2,2,1,6,817.58,,82,82,201402,202306,692,77635.02
012512890132,1,22/05/1971,52,4,2,24,0,5,4562.86,228.14,365.03,593.16998,201612,201903,381,10894.62
012940510132,1,18/04/1974,49,4,,2,0,,,,,,201405,201705,99,1765.8
013144440144,1,13/04/1959,64,5,1,14,0,6,7888.61,394.43,631.09,1025.52,201504,202101,519,21165.11
013309880177,1,29/04/1995,28,2,1,13,0,,,,,,201506,201608,8,1839.51
013329200140,1,29/11/1976,46,4,1,17,1,6,635.23,,82,82,201404,202306,601,79666.43999999999
